"001.0","Cholera d/t vib cholerae","Cholera due to vibrio cholerae"
"001.1","Cholera d/t vib el tor","Cholera due to vibrio cholerae el tor"
"001.9","Cholera NOS","Cholera, unspecified"
"002.0","Typhoid fever","Typhoid fever"
"002.1","Paratyphoid fever a","Paratyphoid fever A"
"002.2","Paratyphoid fever b","Paratyphoid fever B"
"002.3","Paratyphoid fever c","Paratyphoid fever C"
"002.9","Paratyphoid fever NOS","Paratyphoid fever, unspecified"
"003.0","Salmonella enteritis","Salmonella gastroenteritis"
"003.1","Salmonella septicemia","Salmonella septicemia"
"003.20","Local salmonella inf NOS","Localized salmonella infection, unspecified"
"003.21","Salmonella meningitis","Salmonella meningitis"
"003.22","Salmonella pneumonia","Salmonella pneumonia"
"003.23","Salmonella arthritis","Salmonella arthritis"
"003.24","Salmonella osteomyelitis","Salmonella osteomyelitis"
"003.29","Local salmonella inf NEC","Other localized salmonella infections"
"003.8","Salmonella infection NEC","Other specified salmonella infections"
"003.9","Salmonella infection NOS","Salmonella infection, unspecified"
"004.0","Shigella dysenteriae","Shigella dysenteriae"
"004.1","Shigella flexneri","Shigella flexneri"
"004.2","Shigella boydii","Shigella boydii"
"004.3","Shigella sonnei","Shigella sonnei"
"004.8","Shigella infection NEC","Other specified shigella infections"
"004.9","Shigellosis NOS","Shigellosis, unspecified"
"005.0","Staph food poisoning","Staphylococcal food poisoning"
"005.1","Botulism food poisoning","Botulism food poisoning"
"005.2","Food pois d/t c. perfrin","Food poisoning due to Clostridium perfringens (C. welchii)"
"005.3","Food pois: clostrid NEC","Food poisoning due to other Clostridia"
"005.4","Food pois: v. parahaem","Food poisoning due to Vibrio parahaemolyticus"
"005.81","Food poisn d/t v. vulnif","Food poisoning due to Vibrio vulnificus"
"005.89","Bact food poisoning NEC","Other bacterial food poisoning"
"005.9","Food poisoning NOS","Food poisoning, unspecified"
"006.0","Ac amebiasis w/o abscess","Acute amebic dysentery without mention of abscess"
"006.1","Chr amebiasis w/o absces","Chronic intestinal amebiasis without mention of abscess"
"006.2","Amebic nondysent colitis","Amebic nondysenteric colitis"
"006.3","Amebic liver abscess","Amebic liver abscess"
"006.4","Amebic lung abscess","Amebic lung abscess"
"006.5","Amebic brain abscess","Amebic brain abscess"
"006.6","Amebic skin ulceration","Amebic skin ulceration"
"006.8","Amebic infection NEC","Amebic infection of other sites"
"006.9","Amebiasis NOS","Amebiasis, unspecified"
"007.0","Balantidiasis","Balantidiasis"
"007.1","Giardiasis","Giardiasis"
"007.2","Coccidiosis","Coccidiosis"
"007.3","Intest trichomoniasis","Intestinal trichomoniasis"
"007.4","Cryptosporidiosis","Cryptosporidiosis"
"007.5","Cyclosporiasis","Cyclosporiasis"
"007.8","Protozoal intest dis NEC","Other specified protozoal intestinal diseases"
"007.9","Protozoal intest dis NOS","Unspecified protozoal intestinal disease"
"008.00","Intest infec e coli NOS","Intestinal infection due to E. coli, unspecified"
"008.01","Int inf e coli entrpath","Intestinal infection due to enteropathogenic E. coli"
"008.02","Int inf e coli entrtoxgn","Intestinal infection due to enterotoxigenic E. coli"
"008.03","Int inf e coli entrnvsv","Intestinal infection due to enteroinvasive E. coli"
"008.04","Int inf e coli entrhmrg","Intestinal infection due to enterohemorrhagic E. coli"
"008.09","Int inf e coli spcf NEC","Intestinal infection due to other intestinal E. coli infections"
"008.1","Arizona enteritis","Intestinal infection due to arizona group of paracolon bacilli"
"008.2","Aerobacter enteritis","Intestinal infection due to aerobacter aerogenes"
"008.3","Proteus enteritis","Intestinal infection due to proteus (mirabilis) (morganii)"
"008.41","Staphylococc enteritis","Intestinal infection due to staphylococcus"
"008.42","Pseudomonas enteritis","Intestinal infection due to pseudomonas"
"008.43","Int infec campylobacter","Intestinal infection due to campylobacter"
"008.44","Int inf yrsnia entrcltca","Intestinal infection due to yersinia enterocolitica"
"008.45","Int inf clstrdium dfcile","Intestinal infection due to Clostridium difficile"
"008.46","Intes infec oth anerobes","Intestinal infection due to other anaerobes"
"008.47","Int inf oth grm neg bctr","Intestinal infection due to other gram-negative bacteria"
"008.49","Bacterial enteritis NEC","Intestinal infection due to other organisms"
"008.5","Bacterial enteritis NOS","Bacterial enteritis, unspecified"
"008.61","Intes infec rotavirus","Enteritis due to rotavirus"
"008.62","Intes infec adenovirus","Enteritis due to adenovirus"
"008.63","Int inf norwalk virus","Enteritis due to norwalk virus"
"008.64","Int inf oth sml rnd vrus","Enteritis due to other small round viruses [SRV's]"
"008.65","Enteritis d/t calicivirs","Enteritis due to calicivirus"
"008.66","Intes infec astrovirus","Enteritis due to astrovirus"
"008.67","Int inf enterovirus NEC","Enteritis due to enterovirus nec"
"008.69","Other viral intes infec","Enteritis due to other viral enteritis"
"008.8","Viral enteritis NOS","Intestinal infection due to other organism, not elsewhere classified"
"009.0","Infectious enteritis NOS","Infectious colitis, enteritis, and gastroenteritis"
"009.1","Enteritis of infect orig","Colitis, enteritis, and gastroenteritis of presumed infectious origin"
"009.2","Infectious diarrhea NOS","Infectious diarrhea"
"009.3","Diarrhea of infect orig","Diarrhea of presumed infectious origin"
"010.00","Prim TB complex-unspec","Primary tuberculous infection, unspecified"
"010.01","Prim TB complex-no exam","Primary tuberculous infection, bacteriological or histological examination not done"
"010.02","Prim TB complex-exm unkn","Primary tuberculous infection, bacteriological or histological examination unknown (at present)"
"010.03","Prim TB complex-micro dx","Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy"
"010.04","Prim TB complex-cult dx","Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"010.05","Prim TB complex-histo dx","Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"010.06","Prim TB complex-oth test","Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"010.10","Prim TB pleurisy-unspec","Tuberculous pleurisy in primary progressive tuberculosis, unspecified"
"010.11","Prim TB pleurisy-no exam","Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done"
"010.12","Prim TB pleur-exam unkn","Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
"010.13","Prim TB pleuris-micro dx","Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
