"icd_code","pft"
"204.1","""CLL"""
"242.91","""TSH"""
"250.0","""NIDOMII"""
"250.1","""DKA"""
"272.4","""HLP"""
"300.02","""GAD """
"303.9","""ETOH"""
"309.81","""PTSD"""
"333.94","""RLS"""
"335.2","""ALS """
"340.0","""MS """
"343.9","""CP"""
"401.1","""HTN"""
"410.9","""MI"""
"414.0","""CAD"""
"424.2","""MVP """
"427","""SVT """
"427.31","""A-Fib"""
"427.41","""V-Fib"""
"427.81","""SSS"""
"428.0","""CHF"""
"435.9","""TIA"""
"436.0","""CVA"""
"438.9","""S/P CVA"""
"441.4","""AAA"""
"443.9","""PVD """
"447.9","""PAD"""
"496.0","""COPD """
"511.9","""PE"""
"518.83","""CRF"""
"530.81","""GERD"""
"531.4","""PUD"""
"560.9","""SBO"""
"574.5","""CBD"""
"584.9","""ARF """
"585","""CRI"""
"585.9","""CKD"""
"599.0","""UTI"""
"600.9","""BPH"""
"714.0","""RA"""
"715.9","""DJD """
"722.9","""DDD """
"733.0","""OP"""
"780.57","""OSA"""
"786.05","""SOB"""
"787.02","""NV """
"794.8","""ALFT"""
"V43.3","""S/P MVR"""
"V43.65","""S/P TKR"""
"V45.02","""AICD"""
"008.45","""c.diff"""
"008.8","""INTESTINAL INFECTION DUE TO OTHER"""
"009.0","""INFECTIOUS COLITIS"""
"037.","""TETANUS"""
"041.11","""staph aureus infection unspec/abscess"""
"041.12","""MRSA ELSEWHERE"""
"047.9","""VIRAL MENINGITIS"""
"053.9","""HERPES ZOSTER/SHINGLES"""
"054.10","""GENITAL HERPES"""
"054.9","""herpes simplex"""
"070.54","""CHRONIC HEPATITIS C W/O HEPATIC COMA"""
"070.70","""unspecified viral hep Cw/o hep coma"""
"078.10","""VIRAL WARTS UNSP"""
"082.40","""ehrlichiosis"""
"100.89","""PRETIBIAL BURSITIS"""
"110.3","""TINEA CRURIS"""
"110.4","""dermatophytosis of foot/tenia pedis/ATHL"""
"111.0","""tinea versicolor"""
"112.0","""THRUSH"""
"112.1","""VIGINAL CANDIDIASIS"""
"112.84","""ESOPHAGEAL CANDIDIASIS"""
"112.9","""CANDIDIASIS OF UNSP SITE"""
"117.3","""ASPERGILLOSIS"""
"132.0","""PEDICULITIS CAPITIS"""
"135.0","""SARCOIDOSIS"""
"146.0","""MALIGNANT NEOPL TONSIL/TONSIL CANCER"""
"150.9","""OESOPHAGEAL CANCER"""
"151.9","""STOMACH CANCER"""
"152.0","""MALIGNANT NEOPL DUODENUM"""
"153.9","""malignant neoplasm of colon/ colon cance"""
"154.1","""RECTAL CANCER"""
"155.0","""HEPATOCELLULAR CARCINOMA"""
"156.2","""ampullary carcinoma"""
"156.9","""MALIG NEO BILIARY"""
"157.9","""PANCREATIC CANCER"""
"161.9","""MALIGNANT NEO LARYNX"""
"162.9","""lung cancer"""
"172.9","""MELANOMA OF SKIN SITE UNSP"""
"175.9","""BREAST CANCER"""
"179.0","""UTERINE CANCER"""
"183.0","""OVARIAN CANCER"""
"184.4","""VULVAR CANCER"""
"185.0","""PROSTATE CANCER"""
"188.9","""BLADDER CANCER"""
"189.0","""RENAL CELL CARCINOMA"""
"189.2","""ureter cancer"""
"191.2","""MAL NEO TEMPORAL LOBE"""
"191.3","""MAL NEO PARIETAL LOBE"""
"197.0","""sec malig neo lung"""
"197.6","""SEC MAL NEO PERITONEUM"""
"198.3","""sec malignant neo brain/spine"""
"198.5","""SEC MALIG NEO BONE"""
"202.8","""NON HODGKINS LYMPHOMA"""
"203.0","""MULTIPLE MYELOMA, W/O MENT OF ACHEIVED"""
"205.1","""CHRONIC MYELOID LEUKEMIA"""
"223.0","""BENIGN NEOPLASM KIDNEY"""
"225.2","""ben neo cerebr meninges"""
"236.91","""unc behav neo kidney"""
"238.4","""POLYCYTHEMIA VERA"""
"238.75","""myelodysplastic syndrome"""
"238.79","""other lymphatic and hematopoietic tissue"""
"239.2","""bone/ skin neoplasm"""
"242.9","""hyperthyroidism"""
"244.9","""hypothyroidism"""
"249.0","""SEC DM2 /HYPERGLYCEMIA"""
"250.01","""DM1 without complication"""
"250.02","""DM2, uncontrolled"""
"250.13","""DKA"""
"250.42","""DM2 nephropathy, uncontrolled"""
"250.6","""DM2/Diabetic neuropathy, controlled"""
"250.62","""DM2/Diabetic neuropathy,uncontrolled"""
"250.7","""DIABETES CIRCULAT DIS TYPE II"""
"250.72","""DM2 WITH PERIPHERAL CIRC DISEASE"""
"251.2","""hypoglycemia"""
"252.0","""HYPERPARATHYROIDISM"""
"255.41","""GLUCOCORTICOID DEFICIENCY"""
"256.4","""POLYCYSTIC OVARIES"""
"259.2","""CARCINOID SYNDROME"""
"263.0","""MALNUTRITION"""
"268.9","""VITAMIN D DEFICIENCY"""
"274.01","""GOUTY ARTHRITIS"""
"274.9","""GOUT"""
"275.1","""WILSON\'S DISEASE"""
"275.41","""HYPOCALCEMIA"""
"275.42","""HYPERCALCEMIA"""
"276.0","""HYPERNATREMIA/HYPEROSMALALITY"""
"276.1","""HYPOSMOLALITY AND/ OR HYPONATREMIA"""
"276.2","""METABOLIC ACIDOSIS"""
"276.51","""DEHYDRATION"""
"276.7","""HYPERKALEMIA"""
"276.8","""HYPOKALEMIA"""
"277.3","""AMYLOIDOSIS"""
"278.01","""MORBID OBESITY"""
"280.0","""anemia,chronic blood loss"""
"280.9","""IRON DEF ANEMIA"""
"281.1","""B12 DEFICIENCY ANEMIA"""
"281.2","""FOLATE DEFICIENCY ANEMIA"""
